isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:47:58 +0300 "GET /index.php" 200
isp_crm_php  | NOTICE: PHP message: [GenieACS] setParameterValues to 00259E-HG8546M-48575443F1093979: {"params_count":3,"success":true,"http_code":200}
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:47:52 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:04 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:05 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:09 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:15 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:19 +0300 "GET /index.php" 200
isp_crm_php  | NOTICE: PHP message: Public complaint submission error: SQLSTATE[22021]: Character not in repertoire: 7 ERROR:  invalid byte sequence for encoding "UTF8": 0xed 0xa0 0xbd
isp_crm_php  | CONTEXT:  unnamed portal parameter $8
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:25 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:00 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:05 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:20 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:35 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:35 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:48:50 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:49:05 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:49:05 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configure_wifi_bridge] Serial: 48575443F1093979, WiFi Index: 4, VLAN: 660, SSID: QWEQWEQWE, Password: empty, Encryption: Open
isp_crm_php  | NOTICE: PHP message: [configure_wifi_bridge] Found device: 00259E-HG8546M-48575443F1093979, calling configureWifiAccessVlan
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Starting: device=00259E-HG8546M-48575443F1093979, wlan=4, vlan=660, ssid=QWEQWEQWE
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Creating new bridge: NEW WANConnectionDevice pattern (from working router), existingWAN=[1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Step 0b: Set WLAN 4 Enable=true, SSID=QWEQWEQWE, password=unchanged, encryption=Open
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Step 1: Adding NEW WANConnectionDevice under WANDevice.1
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Step 1 AddObject result: HTTP 202
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:49:35 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 0: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 0: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:49:47.817Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 0: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 0: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:50:01 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:50:01 +0300 "GET /cron.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:50:05 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 1: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 1: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:50:17.544Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 1: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 1: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:50:35 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 2: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 2: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:50:47.256Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 2: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 2: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:51:05 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 3: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 3: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:51:17.016Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 3: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 3: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:51:35 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 4: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 4: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:51:46.939Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 4: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 4: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:52:05 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:52:09 +0300 "GET /isp-cron.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 5: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 5: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:52:16.781Z","_id":"699d90
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 5: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 5: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:52:35 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:52:30 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 6: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 6: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:52:46.499Z","_id":"699d91
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 6: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 6: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 7: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 7: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:53:16.282Z","_id":"699d91
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 7: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 7: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:14:53:30 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 8: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 8: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:53:46.060Z","_id":"699d91
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 8: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 8: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 9: getParameterNames HTTP 0 ERR: Empty reply from server resp:
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 9: getParameterValues HTTP 202 resp: {"name":"getParameterValues","parameterNames":["InternetGatewayDevice.WANDevice.1.WANConnectionDevice."],"device":"00259E-HG8546M-48575443F1093979","timestamp":"2026-02-24T11:54:15.908Z","_id":"699d91
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 9: found WANConnectionDevice indices: [1], existing: [1]
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] Attempt 9: WANConnectionDevice not yet visible, waiting...
isp_crm_php  | NOTICE: PHP message: [configureWifiAccessVlan] FAILED: WANConnectionDevice was not created after 10 attempts
isp_crm_php  | NOTICE: PHP message: [configure_wifi_bridge] Result: {"success":false,"message":"","errors":[]}
