isp_crm_php  | NOTICE: PHP message: [AuthStage1] ONU 87783 (SN: 4857544346F3029F) - Equipment ID: HG8546M
isp_crm_php  | NOTICE: PHP message: [AuthStage1] Default line profile: ID=2, Name=SMARTOLT_FLEXIBLE_GPON
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:29 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: [ProfileMatch] Exact match: 'HG8546M' = 'HG8546M' (ID 3)
isp_crm_php  | NOTICE: PHP message: [AuthStage1] OLT srv profile lookup for 'HG8546M': Found ID=3
isp_crm_php  | NOTICE: PHP message: [AuthStage1] Using OLT-matched profile: ID=3, Name=HG8546M
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:40 +0300 "GET /index.php" 302
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:40 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:40 +0300 "GET /index.php" 200
isp_crm_php  | NOTICE: PHP message: [findNextAvailableOnuId] OLT 1, Port 0/1/0: Used IDs = [0,1,3,5], Next = 2
isp_crm_php  | NOTICE: PHP message: [AuthStage1] FINAL: lineProfile=2, srvProfile=3, source=olt-matched
isp_crm_php  | NOTICE: PHP message: [AuthStage1] CLI Script: interface gpon 0/1 | ont add 0 2 sn-auth 4857544346F3029F omci ont-lineprofile-id 2 ont-srvprofile-id 3 desc "Gerald Kimau" | quit
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:59 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:01 +0300 "GET /cron.php" 403
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:00 +0300 "GET /api/smartolt-onus.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:08 +0300 "GET /webhooks/whatsapp.php" 400
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:01 +0300 "GET /cron.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:28 +0300 "GET /ticket-view.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:29 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:32 +0300 "GET /ticket-view.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:23 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:24:29 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "GET /index.php" 302
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:19 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "POST /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:49 +0300 "GET /index.php" 200
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:59 +0300 "GET /api/olt-stats.php" 200
isp_crm_php  | NOTICE: PHP message: PHP Warning:  Undefined variable $cmd1 in /var/www/html/src/HuaweiOLT.php on line 7168
isp_crm_php  | NOTICE: PHP message: PHP Warning:  Undefined variable $cmd2 in /var/www/html/src/HuaweiOLT.php on line 7168
isp_crm_php  | 172.18.0.3 -  24/Feb/2026:13:25:40 +0300 "POST /index.php" 200
